Timestamp,Email Address,How much attention were you paying to the music?,Rate your liking for Track 1,Rate your liking for Track 2,Rate your liking for Track 3,Rate your liking for Track 4,Rate your liking for Track 5,Rate your liking for Track 6,Rate your liking for Track 7,Rate your liking for Track 8,Rate your liking for Track 9,Rate your liking for Track 10,List any of these songs that you heard prior to this experiment.,List any of these artists that you heard prior to this experiment.,What type of Spotify account do you have?,List the songs in the order you heard them.,Did you give ratings for the order you provided or the original order?
1262020  11:44:00 PM,2,3,Dislike,NeutralNot Sure,Like,Dislike,Like,Dislike,NeutralNot Sure,Dislike,NeutralNot Sure,Like,,,Premium,,
11302020  2:06:00 PM,3,4,Like,Like,Like,NeutralNot Sure,Dislike,Like,Dislike,Like,Dislike,Dislike,"track one, track six, track nine, track ten",Pheobe Bridgers,Premium,,
1212020  9:06:00 PM,4,3,Dislike,Dislike,NeutralNot Sure,Like,NeutralNot Sure,Dislike,Like,Like,Like,Like,na,"king gizzard + lizard wizard, IDLES, parquet courts",Free,in playlist order (used web player),Original order
1272020  5:37:00 PM,5,3,Dislike,Dislike,NeutralNot Sure,Like,NeutralNot Sure,Like,Dislike,Like,Dislike,Like,None,None,Premium,,
1262020  8:11:00 PM,6,5,Like,NeutralNot Sure,Like,Dislike,Dislike,Like,NeutralNot Sure,Like,Like,Like,Double Shifts,Charlotte Cardin ,Premium,,
1232020  12:27:00 PM,7,4,Dislike,NeutralNot Sure,Dislike,NeutralNot Sure,Dislike,Like,Like,Like,NeutralNot Sure,Like,Walk With You,"autograf, KAASI",Premium,,
1262020  9:54:00 PM,8,5,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Like,NeutralNot Sure,None,None,Premium,,
1282020  11:20:00 AM,9,3,Like,Like,Like,NeutralNot Sure,Like,NeutralNot Sure,Dislike,Dislike,Like,Like,No,,Premium,,
11302020  3:34:00 PM,10,4,Like,Dislike,NeutralNot Sure,Dislike,Dislike,Dislike,Dislike,NeutralNot Sure,Like,Dislike,Music is Worth Living For (It sounded familiar maybe),Andrew W.K.,Premium,,
1252020  2:27:00 PM,11,5,Like,NeutralNot Sure,Dislike,Like,Like,NeutralNot Sure,Like,Like,Like,NeutralNot Sure,"Reigns, Nights That Won't Happen, Ducter ","IDLES, Purple Mountains, Julien BakerPhoebe BridgersLucy Dacus, Andrew W.K., Jeff Rosenstock, black midi",Premium,,
1272020  10:21:00 AM,12,5,NeutralNot Sure,NeutralNot Sure,Dislike,Like,Like,Like,NeutralNot Sure,Dislike,Dislike,Dislike,"I had heard the songs by parquet courts, idles, king gizzard and the wizard lizard, black midi, everything everything, HMLTD, dirty projectors and Copeland ","I had heard songs by parquet courts, idles, king gizzard and the wizard lizard, black midi, everything everything, HMLTD, dirty projectors and Copeland",Premium,,
1252020  1:35:00 PM,13,4,NeutralNot Sure,Dislike,NeutralNot Sure,Like,Like,NeutralNot Sure,Like,NeutralNot Sure,NeutralNot Sure,Dislike,drive in,"clipping., Killer Mike, Aesop Rock, Med, Blue, Madlib, Quelle, Open Mike Eagle, Cannibal Ox, C-rayz Walz",Free,"pain everyday, street reppin, reagan, pizza alley, drive in, oh shit, please don't let me, obamacare, asa's bop, control you",Original order
1262020  2:24:00 PM,14,4,NeutralNot Sure,Like,NeutralNot Sure,NeutralNot Sure,Dislike,NeutralNot Sure,NeutralNot Sure,Like,Like,NeutralNot Sure,Range Life; Ducter; N O D R E A M,Pavement; black midi; Jeff Rosenstock,Premium,,
1262020  9:33:00 PM,15,4,Dislike,Like,Dislike,NeutralNot Sure,NeutralNot Sure,Like,NeutralNot Sure,Dislike,Like,NeutralNot Sure,None i don't think,Killer Mike,Premium,,
1252020  11:54:00 AM,16,5,Like,NeutralNot Sure,Dislike,Dislike,Dislike,NeutralNot Sure,Like,Dislike,NeutralNot Sure,NeutralNot Sure,"Broadripple is burning, keep your name, premonitory dream, death March, ","Margot & the nuclear so and so’s, dirty projectors, crying, Algiers, idles, king gizzard & the lizard wizard, black midi, hmltd, the voids, parquet courts",Premium,,
1282020  12:06:00 AM,17,4,NeutralNot Sure,Dislike,NeutralNot Sure,NeutralNot Sure,Like,Like,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Like,None,None,Free,"Make Out in My Car, Shooter, Untitled, Drive In, Mama Says, Collapse, Popeye, All the Way Down, Bucciarati, Grasshopper",Original order
1292020  8:00:00 PM,18,4,Like,Like,Like,NeutralNot Sure,Like,NeutralNot Sure,Like,Like,Dislike,NeutralNot Sure,"""Salt in the Wound"" - Julien Baker, Pheobe Bridges","Dirty Projectors, King Gizzard and the Wizard Lizard, Algiers, The Mountain Goats, Julien BakerPheobe Bridges ",Free,"""Stillness Is the Move"", ""Storyline Fever"", ""Hot Wax"", ""N O D R E A M"", ""Death March"", ""Well and Spring"", ""Rain in Soho"", ""Ne Touche Pas Moi"", ""Violent Sun"", ""Salt in the Wound""",Original order
1282020  9:23:00 AM,19,5,Like,Like,Like,Like,NeutralNot Sure,Like,Like,Like,Like,Like,none,none,Premium,,
1232020  12:38:00 AM,20,5,NeutralNot Sure,Like,NeutralNot Sure,Like,Like,NeutralNot Sure,Like,Like,Like,Dislike,NA,NA,Premium,,
1242020  5:16:00 PM,21,5,Dislike,Dislike,NeutralNot Sure,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,,,Premium,,
1252020  10:56:00 PM,22,5,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Dislike,NeutralNot Sure,Dislike,None,None,Free,Should be lined up to my answer,Original order
1232020  1:19:00 PM,23,4,NeutralNot Sure,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,,,Premium,,
1292020  12:22:00 PM,24,4,Like,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,NeutralNot Sure,Dislike,"violence, shady lane, party til you puke, ","Andrew WK, Pavement, Parquet Courts, IDLES, Mountin Goats",Premium,,
11302020  3:27:00 PM,25,5,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Double Shifts and Why Don’t You Come On,Khalid ,Premium,,
1252020  8:22:00 PM,26,5,Dislike,NeutralNot Sure,Dislike,Like,Dislike,Like,Like,Like,Like,NeutralNot Sure,,Echos,Premium,,
12262020  12:30:00 AM,27,5,Dislike,Dislike,Dislike,Like,Dislike,Dislike,NeutralNot Sure,Like,Dislike,Dislike,NA,NA,Premium,,
12272020  2:34:00 AM,28,4,Like,NeutralNot Sure,NeutralNot Sure,Like,NeutralNot Sure,NeutralNot Sure,Like,NeutralNot Sure,NeutralNot Sure,Like,"The first song, ""Passive Aggressive"" sounds really familiar. Not sure if I've heard the song before or a similar-sounding song.",,Premium,,
11302020  7:34:00 PM,29,5,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,NeutralNot Sure,,Perfume Genius,Premium,,
1282020  2:09:00 AM,30,4,Like,Dislike,Like,NeutralNot Sure,Like,Dislike,Dislike,Like,NeutralNot Sure,Like,na ,na ,Premium,,
1262020  8:33:00 PM,31,3,NeutralNot Sure,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Lay-by,Tennyson,Premium,,
1222020  1:09:00 AM,32,4,Like,NeutralNot Sure,Like,Like,Dislike,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Leave your lover ,Echos ,Premium,,
1242020  12:14:00 AM,33,5,Like,NeutralNot Sure,NeutralNot Sure,Dislike,Dislike,Like,Dislike,Like,Dislike,NeutralNot Sure,none,none,Premium,,
12192020  12:49:00 AM,34,5,Like,Like,Like,NeutralNot Sure,Dislike,NeutralNot Sure,Dislike,Like,Like,Like,,,Free,"How far, Pizza Alley, Popeye, Drive In, Pain Everday, I Can Do No Wrong, Female, Reagan, Joey Labeija_Better_107 BPM, Collapse",Original order
1212020  10:25:00 AM,35,5,Like,Like,NeutralNot Sure,Dislike,Dislike,Dislike,Like,Dislike,NeutralNot Sure,Like,,BAYNK,Premium,,
1262020  7:25:00 PM,36,5,Like,Like,NeutralNot Sure,Like,Like,Like,Like,Like,NeutralNot Sure,Like,Sizzling,"Caroline Polachek, Daphni, Paradise",Premium,,
1272020  12:20:00 AM,37,5,NeutralNot Sure,Like,Like,NeutralNot Sure,Like,NeutralNot Sure,NeutralNot Sure,Dislike,Like,NeutralNot Sure,,,Free,"Blood 
Well and Spring
Ever Again
Did My Best
Violent Sun
Mikey’s Song
Storyline Fever
NODREAM
Ketchum Dream 
Range Life",Original order
1212020  5:09:00 PM,38,4,Dislike,Like,Like,Like,Like,Dislike,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Dislike,No,No,Premium,,
